name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
KMT-2021-BLG-0240 c,Confirmed,0.7,0.25,0.25,,,,,,,,,,4.0,3.0,3.0,,,,,,,,2022,2022-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2021-BLG-0240,267.579166673,-30.005000004,,,,,,7000.0,1500.0,1500.0,,,,0.47,0.24,0.24,,,,,,,,,,,,,
KMT-2021-BLG-0320 b,Confirmed,0.1,0.07,0.07,,,,,,,,,,2.0,0.75,0.75,,,,,,,,2022,2022-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2021-BLG-0320,269.387500011,-30.503888902,,,,,,6950.0,1330.0,1330.0,,,,0.32,0.21,0.21,,,,,,,,,,,,,
KMT-2021-BLG-0322 b,Confirmed,6.4,2.78,2.78,,,,,,,,,,,,,,,,,,,,2021,2023-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2021-BLG-0322,270.912500013,-29.60444446,,,,,,6600.0,1100.0,1100.0,,,,,,,,,,,,,,,,,,,
KMT-2021-BLG-0588 b,Confirmed,53.0,2.3,2.3,,,,,,,,,,3.38,1.0,1.0,,,,,,,,2023,2023-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2021-BLG-0588,271.720833351,-27.421944457,,,,,,3030.0,1000.0,1000.0,,,,0.54,24.0,24.0,,,,,,,,,,,,,MOA-2021-BLG-139
KMT-2021-BLG-0712 b,Confirmed,0.12016,0.038,0.038,,,,,,,,,,2.22,0.48,0.48,,,,,,,,2022,2022-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2021-BLG-0712,269.287500003,-31.184444449,,,,,,3090.0,750.0,750.0,,,,0.22,0.07,0.07,,,,,,,,,,,,,
KMT-2021-BLG-0748 b,Confirmed,0.45,0.25,0.25,,,,,,,,,,2.43,0.67,0.67,,,,,,,,2022,2022-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2021-BLG-0748,272.420833347,-25.746666692,,,,,,6090.0,1310.0,1310.0,,,,0.36,0.2,0.2,,,,,,,,,,,,,
KMT-2021-BLG-0909 b,Confirmed,1.26,0.66,0.66,,,,,,,,,,1.75,0.42,0.42,,,,,,,,2022,2022-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2021-BLG-0909,265.620833343,-27.639166684,,,,,,6480.0,1380.0,1380.0,,,,0.38,0.2,0.2,,,,,,,,,,,,,
KMT-2021-BLG-0912 b,Confirmed,6.92,2.6,2.6,,,,,,,,,,3.03,2.46,2.46,,,,,,,,2021,2021-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,MOA-2021-BLG-233,,KMT-2021-BLG-0912,269.820833339,-31.997777809,,,,,,6710.0,1250.0,1250.0,,,,0.75,0.28,0.28,,,,,,,,,,,,,MOA-2021-BLG-233
KMT-2021-BLG-1077L b,Confirmed,0.22,0.12,0.12,,,,,,,,,,1.26,1.08,1.08,,,,,,,,2022,2022-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2021-BLG-1077L,266.487500019,-33.842777802,,,,,,8240.0,1160.0,1160.0,,,,0.14,0.07,0.07,,,,,,,,,,,,,
KMT-2021-BLG-1077L c,Confirmed,0.25,0.13,0.13,,,,,,,,,,0.93,0.8,0.8,,,,,,,,2022,2022-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2021-BLG-1077L,266.487500019,-33.842777802,,,,,,8240.0,1160.0,1160.0,,,,0.14,0.07,0.07,,,,,,,,,,,,,
KMT-2021-BLG-1105 b,Confirmed,1.3,0.68,0.68,,,,,,,,,,3.54,1.0,1.0,,,,,,,,2022,2022-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2021-BLG-1105,265.733333352,-25.508888906,,,,,,4540.0,1670.0,1670.0,,,,0.63,0.33,0.33,,,,,,,,,,,,,
KMT-2021-BLG-1110 b,Confirmed,55.0,26.0,26.0,,,,,,,,,,8.64,2.15,2.15,,,,,,,,2023,2023-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2021-BLG-1110,268.829166673,-30.373333346,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMT-2021-BLG-1150L b,Confirmed,0.88,0.38,0.38,,,,,,,,,,4.5,1.6,1.6,,,,,,,,2023,2023-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2021-BLG-1150L,268.79166667,-31.31333335,,,,,,3800.0,130.0,130.0,,,,0.73,0.32,0.32,,,,,,,,,,,,,
KMT-2021-BLG-1253 b,Confirmed,0.05994,0.0319,0.0319,,,,,,,,,,1.52,0.41,0.41,,,,,,,,2022,2022-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2021-BLG-1253,267.616666676,-29.279166682,,,,,,6649.0,1300.0,1300.0,,,,0.24,0.13,0.13,,,,,,,,,,,,,
KMT-2021-BLG-1303 b,Confirmed,0.38,0.2,0.2,,,,,,,,,,2.89,0.66,0.66,,,,,,,,2022,2022-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2021-BLG-1303,271.862500009,-29.281666684,,,,,,6280.0,1430.0,1430.0,,,,0.57,0.29,0.29,,,,,,,,,,,,,MOA-2021-BLG-182
KMT-2021-BLG-1372 b,Confirmed,0.19278,0.11289,0.11289,,,,,,,,,,2.37,0.77,0.77,,,,,,,,2022,2022-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2021-BLG-1372,264.487500019,-28.148333348,,,,,,5970.0,2400.0,2400.0,,,,0.42,0.25,0.25,,,,,,,,,,,,,
KMT-2021-BLG-1547L b,Confirmed,1.47,0.77,0.77,,,,,,,,,,4.5,1.3,1.3,,,,,,,,2023,2023-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2021-BLG-1547L,272.150000012,-29.083888891,,,,,,5070.0,150.0,150.0,,,,0.72,0.38,0.38,,,,,,,,,,,,,
KMT-2021-BLG-1554 b,Confirmed,0.12,0.07,0.07,,,,,,,,,,0.84,0.2,0.2,,,,,,,,2022,2022-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2021-BLG-1554,267.804166671,-31.864444473,,,,,,7680.0,1100.0,1100.0,,,,0.08,0.04,0.04,,,,,,,,,,,,,
KMT-2021-BLG-1643 b,Confirmed,61.0,14.0,14.0,,,,,,,,,,5.36,1.17,1.17,,,,,,,,2023,2023-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2021-BLG-1643,270.637500011,-30.605277794,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMT-2021-BLG-1689L b,Confirmed,0.145,0.094,0.094,,,,,,,,,,2.5,0.6,0.6,,,,,,,,2022,2022-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2021-BLG-1689L,269.579166673,-30.14527779,,,,,,7200.0,1300.0,1300.0,,,,0.58,0.27,0.27,,,,,,,,,,,,,
