# date   flux    error
2456842.871864 1.0000923 0.00010298
2456842.892296 0.9998450 0.00010298
2456842.912727 1.0000123 0.00010298
2456842.974023 1.0001027 0.00010298
2456842.994454 1.0001533 0.00010298
2456843.014886 0.9999414 0.00010298
2456843.035318 1.0000224 0.00010298
2456843.055750 1.0001132 0.00010298
2456843.076181 1.0000403 0.00010298
2456843.096613 1.0001259 0.00010298
2456843.117045 1.0001271 0.00010298
2456843.137476 1.0001207 0.00010298
2456843.157908 1.0000747 0.00010298
2456843.178340 1.0000269 0.00010298
2456843.198772 1.0001566 0.00010298
2456843.219204 1.0001467 0.00010298
2456843.239635 1.0000582 0.00010298
2456843.260067 0.9999861 0.00010346
2456843.280499 0.9999819 0.00010346
2456843.300930 1.0001895 0.00010453
2456843.321362 1.0001445 0.00010453
2456843.341794 1.0000854 0.00010453
2456843.362226 1.0001854 0.00010453
2456843.382657 1.0000247 0.00010453
2456843.403089 1.0000721 0.00010453
2456843.464384 1.0001873 0.00010453
2456843.484816 0.9999579 0.00010453
2456843.505248 0.9998720 0.00010453
2456843.525680 0.9999117 0.00010453
2456843.546111 0.9988878 0.00010453
2456843.566543 0.9985173 0.00010453
2456843.586975 0.9983987 0.00010453
2456843.607406 0.9983646 0.00010453
2456843.627838 0.9992355 0.00010453
2456843.648270 0.9999613 0.00010453
2456843.668702 1.0001665 0.00010453
2456843.689133 0.9999316 0.00010453
2456843.709565 1.0000530 0.00010453
2456843.729997 0.9999985 0.00010453
2456843.750429 0.9999794 0.00010453
2456843.770860 1.0001208 0.00010453
2456843.791292 1.0000543 0.00010453
2456843.811724 1.0001546 0.00010453
2456843.832155 0.9999268 0.00010453
2456843.852587 0.9999245 0.00010453
2456843.873019 0.9997129 0.00010453
2456843.893451 0.9998209 0.00010453
2456843.913882 1.0000138 0.00010453
2456843.934314 1.0000102 0.00010453
2456843.954746 0.9999665 0.00010453
2456843.975178 1.0000034 0.00010453
2456843.995609 0.9998488 0.00010453
2456844.016041 0.9998208 0.00010453
2456844.036473 1.0000601 0.00010453
2456844.056905 0.9998925 0.00010453
2456844.077336 0.9998618 0.00010453
2456844.097768 0.9999680 0.00010453
2456844.118200 0.9997764 0.00010453
2456844.138632 0.9998657 0.00010453
2456844.179495 1.0000069 0.00010453
2456844.199927 0.9999864 0.00010453
2456844.220358 1.0000565 0.00010453
2456844.240790 0.9998217 0.00010453
2456844.261222 0.9999752 0.00010489
2456844.281654 0.9998471 0.00010489
2456844.302085 0.9999976 0.00010513
2456844.322517 1.0001315 0.00010513
2456844.342949 0.9998297 0.00010513
2456844.363381 0.9998387 0.00010513
2456844.445107 1.0001510 0.00010513
2456844.465539 1.0000385 0.00010513
2456844.485971 1.0000304 0.00010513
2456844.506403 1.0000526 0.00010513
2456844.526834 0.9999506 0.00010513
2456844.547266 0.9998870 0.00010513
2456844.567698 0.9999157 0.00010513
2456844.588129 1.0001352 0.00010513
2456844.608561 0.9999244 0.00010513
2456844.628993 1.0001729 0.00010513
2456844.649425 0.9999305 0.00010513
2456844.669856 0.9999230 0.00010513
2456844.690288 0.9999436 0.00010513
2456844.710720 1.0001652 0.00010513
2456844.731152 1.0000530 0.00010513
2456844.751583 0.9999319 0.00010513
2456844.772015 0.9999852 0.00010513
2456844.792447 0.9999948 0.00010513
2456844.812878 1.0000170 0.00010513
2456844.833310 1.0000254 0.00010513
2456844.853742 1.0001119 0.00010513
2456844.874174 1.0000696 0.00010513
2456844.894605 1.0000471 0.00010513
2456844.915037 1.0000740 0.00010513
2456844.935469 1.0001909 0.00010513
2456844.955901 1.0002197 0.00010513
2456844.996764 1.0002405 0.00010513
2456845.017196 1.0001537 0.00010513
2456845.037627 0.9999987 0.00010513
2456845.058059 1.0002348 0.00010513
2456845.078491 1.0001392 0.00010513
2456845.098923 1.0001911 0.00010513
2456845.119354 1.0002513 0.00010513
2456845.139786 1.0002723 0.00010513
2456845.160218 1.0003270 0.00010513
2456845.180650 1.0003358 0.00010513
2456845.201081 1.0001119 0.00010513
2456845.221513 0.9999463 0.00010513
2456845.241945 1.0001426 0.00010513
2456845.262376 1.0003016 0.00010406
2456845.282808 1.0001671 0.00010406
2456845.303240 1.0005623 0.00010446
2456845.323671 1.0002744 0.00010446
2456845.344103 1.0003044 0.00010446
2456845.364535 1.0004889 0.00010446
2456845.425830 1.0000304 0.00010446
2456845.446262 0.9999232 0.00010446
2456845.466694 0.9999805 0.00010446
2456845.487125 1.0000924 0.00010446
2456845.507557 1.0000632 0.00010446
2456845.527989 0.9999923 0.00010446
2456845.548420 1.0000504 0.00010446
2456845.568852 1.0001564 0.00010446
2456845.589284 0.9998264 0.00010446
2456845.609716 0.9998336 0.00010446
2456845.630147 0.9998720 0.00010446
2456845.650579 0.9998275 0.00010446
2456845.671011 0.9998475 0.00010446
2456845.691443 1.0000480 0.00010446
2456845.711874 0.9999013 0.00010446
2456845.732306 1.0000474 0.00010446
2456845.752738 1.0002669 0.00010446
2456845.773169 0.9996505 0.00010446
2456845.793601 0.9998477 0.00010446
2456845.814033 0.9997105 0.00010446
2456845.834465 0.9997676 0.00010446
2456845.916191 1.0000223 0.00010446
2456845.936623 1.0000540 0.00010446
2456845.957055 1.0000203 0.00010446
2456845.997918 0.9999621 0.00010446
2456846.018350 1.0000941 0.00010446
2456846.038782 1.0003592 0.00010446
2456846.059213 1.0000662 0.00010446
2456846.079645 0.9999910 0.00010446
2456846.100077 0.9998750 0.00010446
2456846.120508 0.9997871 0.00010446
2456846.161372 1.0000144 0.00010446
2456846.181804 0.9999119 0.00010446
2456846.202235 0.9998612 0.00010446
2456846.222667 1.0000804 0.00010446
2456846.243099 1.0000908 0.00010423
2456846.263531 0.9999386 0.00010423
2456846.283962 0.9997410 0.00010400
2456846.304394 0.9998892 0.00010400
2456846.324826 0.9999770 0.00010400
2456846.345257 1.0000955 0.00010400
2456846.365689 1.0000735 0.00010400
2456846.386121 0.9999864 0.00010400
2456846.406553 1.0000001 0.00010400
2456846.426984 0.9999813 0.00010400
2456846.447416 0.9999953 0.00010400
2456846.467848 1.0000617 0.00010400
2456846.488279 0.9999124 0.00010400
2456846.508711 0.9998633 0.00010400
2456846.529143 1.0000592 0.00010400
2456846.549574 1.0000653 0.00010400
2456846.570006 1.0000279 0.00010400
2456846.590438 1.0000259 0.00010400
2456846.631301 0.9999830 0.00010400
2456846.651733 0.9998947 0.00010400
2456846.672165 0.9999215 0.00010400
2456846.692596 0.9997845 0.00010400
2456846.713028 0.9999356 0.00010400
2456846.733460 1.0000046 0.00010400
2456846.753892 0.9998627 0.00010400
2456846.774323 0.9996997 0.00010400
2456846.794755 0.9996869 0.00010400
2456846.815187 0.9997307 0.00010400
2456846.896914 0.9999388 0.00010400
2456846.917345 1.0001810 0.00010400
2456846.937777 0.9999092 0.00010400
2456846.958209 0.9999982 0.00010400
2456846.978640 1.0000752 0.00010400
2456846.999072 0.9998828 0.00010400
2456847.019504 1.0000122 0.00010400
2456847.039936 1.0001758 0.00010400
2456847.060367 1.0000047 0.00010400
2456847.080799 0.9999912 0.00010400
2456847.101231 1.0000410 0.00010400
2456847.121662 0.9998495 0.00010400
2456847.142094 1.0001378 0.00010400
2456847.162526 1.0000392 0.00010400
2456847.182958 0.9998409 0.00010400
2456847.203389 1.0002257 0.00010400
2456847.223821 0.9999845 0.00010400
2456847.244253 0.9999668 0.00010324
2456847.264684 1.0000453 0.00010324
2456847.285116 0.9998616 0.00010353
2456847.305548 0.9998577 0.00010353
2456847.325979 0.9999788 0.00010353
2456847.346411 0.9999802 0.00010353
2456847.366843 1.0000526 0.00010353
2456847.387274 0.9998958 0.00010353
2456847.407706 0.9999490 0.00010353
2456847.428138 0.9999573 0.00010353
2456847.448570 1.0001346 0.00010353
2456847.469001 1.0001411 0.00010353
2456847.489433 0.9998910 0.00010353
2456847.509865 1.0001012 0.00010353
2456847.530296 1.0001100 0.00010353
2456847.550728 0.9999419 0.00010353
2456847.571160 1.0001558 0.00010353
